date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:54:07	72/72	---MCZ	200	added ('OK')	text/plain	date:Mon,%2019%20Jan%202026%2001:54:06%20GMT	https://www.ccanpeoplesmovement.com/robots.txt		(from )
22:54:08	35004/35004	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jan%202026%2001:54:07%20GMT	https://www.ccanpeoplesmovement.com/	./www.ccanpeoplesmovement.com/index.html	(from )
22:54:09	1221/1221	---MCZ	200	added ('OK')	text/xml	date:Mon,%2019%20Jan%202026%2001:54:09%20GMT	https://www.ccanpeoplesmovement.com/sitemap.xml	./www.ccanpeoplesmovement.com/sitemap.xml	(from https://www.ccanpeoplesmovement.com/)
22:54:10	390/390	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2019%20Jan%202026%2001:54:10%20GMT	https://www.ccanpeoplesmovement.com/www.webador.pl	./www.ccanpeoplesmovement.com/www.webador.1.delayed	(from https://www.ccanpeoplesmovement.com/)
22:54:12	390/390	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2019%20Jan%202026%2001:54:12%20GMT	https://www.ccanpeoplesmovement.com/www.webador.com.au	./www.ccanpeoplesmovement.com/www.webador.com.2.delayed	(from https://www.ccanpeoplesmovement.com/)
22:54:14	37273/37273	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jan%202026%2001:54:13%20GMT	https://www.ccanpeoplesmovement.com/about-us	./www.ccanpeoplesmovement.com/about-us.html	(from https://www.ccanpeoplesmovement.com/)
22:54:15	36095/36095	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jan%202026%2001:54:15%20GMT	https://www.ccanpeoplesmovement.com/our-beliefs	./www.ccanpeoplesmovement.com/our-beliefs.html	(from https://www.ccanpeoplesmovement.com/)
22:54:17	33091/33091	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jan%202026%2001:54:16%20GMT	https://www.ccanpeoplesmovement.com/community-programs	./www.ccanpeoplesmovement.com/community-programs.html	(from https://www.ccanpeoplesmovement.com/)
22:54:18	31930/31930	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jan%202026%2001:54:18%20GMT	https://www.ccanpeoplesmovement.com/get-involved	./www.ccanpeoplesmovement.com/get-involved.html	(from https://www.ccanpeoplesmovement.com/)
22:54:20	52606/52606	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jan%202026%2001:54:19%20GMT	https://www.ccanpeoplesmovement.com/contact	./www.ccanpeoplesmovement.com/contact.html	(from https://www.ccanpeoplesmovement.com/)
22:54:22	49622/49622	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jan%202026%2001:54:21%20GMT	https://www.ccanpeoplesmovement.com/useful-information	./www.ccanpeoplesmovement.com/useful-information.html	(from https://www.ccanpeoplesmovement.com/)
22:54:24	34710/34710	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jan%202026%2001:54:23%20GMT	https://www.ccanpeoplesmovement.com/documents-manuals	./www.ccanpeoplesmovement.com/documents-manuals.html	(from https://www.ccanpeoplesmovement.com/)
22:54:25	45681/45681	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jan%202026%2001:54:24%20GMT	https://www.ccanpeoplesmovement.com/ccan-knights	./www.ccanpeoplesmovement.com/ccan-knights.html	(from https://www.ccanpeoplesmovement.com/)
22:54:26	0/-1	---M--	301	error ('')			https://www.ccanpeoplesmovement.com/www.webador.pl	./www.ccanpeoplesmovement.com/www.webador.c.delayed	(from https://www.ccanpeoplesmovement.com/about-us)
22:54:26	0/-1	---M--	301	error ('')			https://www.ccanpeoplesmovement.com/www.webador.com.au	./www.ccanpeoplesmovement.com/www.webador.com.d.delayed	(from https://www.ccanpeoplesmovement.com/about-us)
22:54:26	0/-1	---M--	301	error ('')			https://www.ccanpeoplesmovement.com/www.webador.pl	./www.ccanpeoplesmovement.com/www.webador.e.delayed	(from https://www.ccanpeoplesmovement.com/our-beliefs)
22:54:26	0/-1	---M--	301	error ('')			https://www.ccanpeoplesmovement.com/www.webador.com.au	./www.ccanpeoplesmovement.com/www.webador.com.f.delayed	(from https://www.ccanpeoplesmovement.com/our-beliefs)
22:54:26	0/-1	---M--	301	error ('')			https://www.ccanpeoplesmovement.com/www.webador.pl	./www.ccanpeoplesmovement.com/www.webador.10.delayed	(from https://www.ccanpeoplesmovement.com/community-programs)
22:54:26	0/-1	---M--	301	error ('')			https://www.ccanpeoplesmovement.com/www.webador.com.au	./www.ccanpeoplesmovement.com/www.webador.com.11.delayed	(from https://www.ccanpeoplesmovement.com/community-programs)
22:54:26	0/-1	---M--	301	error ('')			https://www.ccanpeoplesmovement.com/www.webador.pl	./www.ccanpeoplesmovement.com/www.webador.12.delayed	(from https://www.ccanpeoplesmovement.com/get-involved)
22:54:26	0/-1	---M--	301	error ('')			https://www.ccanpeoplesmovement.com/www.webador.com.au	./www.ccanpeoplesmovement.com/www.webador.com.13.delayed	(from https://www.ccanpeoplesmovement.com/get-involved)
22:54:26	0/-1	---M--	301	error ('')			https://www.ccanpeoplesmovement.com/www.webador.pl	./www.ccanpeoplesmovement.com/www.webador.14.delayed	(from https://www.ccanpeoplesmovement.com/contact)
22:54:26	0/-1	---M--	301	error ('')			https://www.ccanpeoplesmovement.com/www.webador.com.au	./www.ccanpeoplesmovement.com/www.webador.com.15.delayed	(from https://www.ccanpeoplesmovement.com/contact)
22:54:26	0/-1	---M--	301	error ('')			https://www.ccanpeoplesmovement.com/www.webador.pl	./www.ccanpeoplesmovement.com/www.webador.16.delayed	(from https://www.ccanpeoplesmovement.com/useful-information)
22:54:26	0/-1	---M--	301	error ('')			https://www.ccanpeoplesmovement.com/www.webador.com.au	./www.ccanpeoplesmovement.com/www.webador.com.17.delayed	(from https://www.ccanpeoplesmovement.com/useful-information)
22:54:26	0/-1	---M--	301	error ('')			https://www.ccanpeoplesmovement.com/www.webador.pl	./www.ccanpeoplesmovement.com/www.webador.18.delayed	(from https://www.ccanpeoplesmovement.com/documents-manuals)
22:54:26	0/-1	---M--	301	error ('')			https://www.ccanpeoplesmovement.com/www.webador.com.au	./www.ccanpeoplesmovement.com/www.webador.com.19.delayed	(from https://www.ccanpeoplesmovement.com/documents-manuals)
22:54:26	0/-1	---M--	301	error ('')			https://www.ccanpeoplesmovement.com/www.webador.pl	./www.ccanpeoplesmovement.com/www.webador.1a.delayed	(from https://www.ccanpeoplesmovement.com/ccan-knights)
22:54:26	0/-1	---M--	301	error ('')			https://www.ccanpeoplesmovement.com/www.webador.com.au	./www.ccanpeoplesmovement.com/www.webador.com.1b.delayed	(from https://www.ccanpeoplesmovement.com/ccan-knights)
