Date,Details,Debit,Credit,Balance (GBP)
16-01-19,WRT Coin Tranfer-In,,2505.29,2505.29
16-01-19,Deposit,,50.00,2555.29
16-02-19,Deposit,,50.00,2605.29
16-03-19,Deposit,,50.00,2655.29
16-04-19,Deposit,,50.00,2705.29
16-05-19,Deposit,,50.00,2755.29
16-06-19,Deposit,,50.00,2805.29
16-07-19,Deposit,,50.00,2855.29
16-08-19,Deposit,,50.00,2905.29
16-09-19,Deposit,,50.00,2955.29
16-10-19,Deposit,,50.00,3005.29
16-11-19,Deposit,,50.00,3055.29
16-12-19,Deposit,,50.00,3105.29
28-12-19,WIN (22.5% APR),,600.74,3706.03
