Date,Details,Debit,Credit,Balance (GBP)
16-01-19,WRT Coin Tranfer-In,,69591.82,69591.82
16-01-19,Deposit,,50.00,69641.82
16-02-19,Deposit,,50.00,69691.82
16-03-19,Deposit,,50.00,69741.82
16-04-19,Deposit,,50.00,69791.82
16-05-19,Deposit,,50.00,69841.82
16-06-19,Deposit,,50.00,69891.82
16-07-19,Deposit,,50.00,69941.82
16-08-19,Deposit,,50.00,69991.82
16-09-19,Deposit,,50.00,70041.82
16-10-19,Deposit,,50.00,70091.82
16-11-19,Deposit,,50.00,70141.82
16-12-19,Deposit,,50.00,70191.82
28-12-19,WIN (22.5% APR),,14909.47,85101.29
