Date,Details,Debit,Credit,Balance (GBP)
16-01-19,WRT Coin Tranfer-In,,7171.28,7171.28
16-01-19,Deposit,,50.00,7221.28
16-02-19,Deposit,,50.00,7271.28
16-03-19,Deposit,,50.00,7321.28
16-04-19,Deposit,,50.00,7371.28
16-05-19,Deposit,,50.00,7421.28
16-06-19,Deposit,,50.00,7471.28
16-07-19,Deposit,,50.00,7521.28
16-08-19,Deposit,,50.00,7571.28
16-09-19,Deposit,,50.00,7621.28
16-10-19,Deposit,,50.00,7671.28
16-11-19,Deposit,,50.00,7721.28
16-12-19,Deposit,,50.00,7771.28
28-12-19,WIN (22.5% APR),,1595.94,9367.22
