Date,Details,Debit,Credit,Balance (GBP)
#missing-data,WRT Coin Purchase,,25000.00,25000.00
23-05-14,WRT Coin Purchase,,100.00,25100.00
04-08-14,WRT Coin Purchase,,100.00,25200.00
14-08-14,WRT Coin Purchase,,100.00,25300.00
17-08-14,WRT Coin Purchase,,100.00,25400.00
01-09-14,WRT Coin Purchase,,100.00,25500.00
03-09-14,WRT Coin Purchase,,2875.00,28375.00
04-09-14,WRT Coin Purchase,,50.00,28425.00
17-11-14,WRT Coin Purchase,,4000.00,32425.00
29-12-14,WRT Coin Purchase,,5600.00,38025.00
09-02-15,WRT Coin Purchase,,150.00,38175.00
03-03-15,WRT Coin Purchase,,200.00,38375.00
14-03-15,WRT Coin Purchase,,100.00,38475.00
01-06-15,WRT Coin Purchase,,99.90,38574.90
13-06-15,WRT Coin Purchase,,149.90,38724.80
14-07-15,WRT Coin Purchase,,54.90,38779.70
20-08-15,WRT Coin Purchase,,90.00,38869.70
24-08-15,WRT Coin Purchase,,149.90,39019.60
25-08-15,WRT Coin Purchase,,150.00,39169.60
27-08-15,WRT Coin Purchase,,149.90,39319.50
28-08-15,WRT Coin Purchase,,158.00,39477.50
09-09-15,WRT Coin Purchase,,93.00,39570.50
12-09-15,WRT Coin Purchase,,149.90,39720.40
18-09-15,WRT Coin Purchase,,35.00,39755.40
20-09-15,WRT Coin Purchase,,190.00,39945.40
26-09-15,WRT Coin Purchase,,84.00,40029.40
27-09-15,WRT Coin Purchase,,140.00,40169.40
30-09-15,WRT Coin Purchase,,45.00,40214.40
12-10-15,WRT Coin Purchase,,45.00,40259.40
14-10-15,WRT Coin Purchase,,90.00,40349.40
17-10-15,WRT Coin Purchase,,240.00,40589.40
22-10-15,WRT Coin Purchase,,35.00,40624.40
26-10-15,WRT Coin Purchase,,149.90,40774.30
04-11-15,WRT Coin Purchase,,125.00,40899.30
06-11-15,WRT Coin Purchase,,190.00,41089.30
23-11-15,WRT Coin Purchase,,75.00,41164.30
04-09-17,WRT Coin Purchase,,100.00,41264.30
18-05-18,WRT Coin Purchase,,20.00,41284.30
27-06-18,WRT Coin Purchase,,20.00,41304.30
01-12-19,WRT Coin Purchase,,49.90,41354.20
