Date,Details,Debit,Credit,Balance (GBP)
16-01-19,WRT Coin Tranfer-In,,4500.00,4500.00
16-01-19,Deposit,,50.00,4550.00
16-02-19,Deposit,,50.00,4600.00
16-03-19,Deposit,,50.00,4650.00
16-04-19,Deposit,,50.00,4700.00
16-05-19,Deposit,,50.00,4750.00
16-06-19,Deposit,,50.00,4800.00
16-07-19,Deposit,,50.00,4850.00
16-08-19,Deposit,,50.00,4900.00
16-09-19,Deposit,,50.00,4950.00
16-10-19,Deposit,,50.00,5000.00
16-11-19,Deposit,,50.00,5050.00
16-12-19,Deposit,,50.00,5100.00
28-12-19,WIN (22.5% APR),,1026.18,6126.18
