Date,Details,Debit,Credit,Balance (GBP)
16-01-19,WRT Coin Tranfer-In,,1000.00,1000.00
16-01-19,Deposit,,50.00,1050.00
16-02-19,Deposit,,50.00,1100.00
16-03-19,Deposit,,50.00,1150.00
16-04-19,Deposit,,50.00,1200.00
16-05-19,Deposit,,50.00,1250.00
16-06-19,Deposit,,50.00,1300.00
16-07-19,Deposit,,50.00,1350.00
16-08-19,Deposit,,50.00,1400.00
16-09-19,Deposit,,50.00,1450.00
16-10-19,Deposit,,50.00,1500.00
16-11-19,Deposit,,50.00,1550.00
16-12-19,Deposit,,50.00,1600.00
28-12-19,WIN (22.5% APR),,279.68,1879.68
