Date,Details,Debit,Credit,Balance (GBP)
16-01-19,WRT Coin Tranfer-In,,4000.00,4000.00
16-01-19,Deposit,,50.00,4050.00
16-02-19,Deposit,,50.00,4100.00
16-03-19,Deposit,,50.00,4150.00
16-04-19,Deposit,,50.00,4200.00
16-05-19,Deposit,,50.00,4250.00
16-06-19,Deposit,,50.00,4300.00
16-07-19,Deposit,,50.00,4350.00
16-08-19,Deposit,,50.00,4400.00
16-09-19,Deposit,,50.00,4450.00
16-10-19,Deposit,,50.00,4500.00
16-11-19,Deposit,,50.00,4550.00
16-12-19,Deposit,,50.00,4600.00
28-12-19,WIN (22.5% APR),,919.54,5519.54
