Date,Details,Debit,Credit,Balance (GBP)
16-01-19,WRT Coin Tranfer-In,,27544.20,27544.20
16-01-19,Deposit,,50.00,27594.20
16-02-19,Deposit,,50.00,27644.20
16-03-19,Deposit,,50.00,27694.20
16-04-19,Deposit,,50.00,27744.20
16-05-19,Deposit,,50.00,27794.20
16-06-19,Deposit,,50.00,27844.20
16-07-19,Deposit,,50.00,27894.20
16-08-19,Deposit,,50.00,27944.20
16-09-19,Deposit,,50.00,27994.20
16-10-19,Deposit,,50.00,28044.20
16-11-19,Deposit,,50.00,28094.20
16-12-19,Deposit,,50.00,28144.20
28-12-19,WIN (22.5% APR),,5941.23,34085.43
