Date,Details,Debit,Credit,Balance (GBP)
16-01-19,WRT Coin Tranfer-In,,3485.05,3485.05
16-01-19,Deposit,,50.00,3535.05
16-02-19,Deposit,,50.00,3585.05
16-03-19,Deposit,,50.00,3635.05
16-04-19,Deposit,,50.00,3685.05
16-05-19,Deposit,,50.00,3735.05
16-06-19,Deposit,,50.00,3785.05
16-07-19,Deposit,,50.00,3835.05
16-08-19,Deposit,,50.00,3885.05
16-09-19,Deposit,,50.00,3935.05
16-10-19,Deposit,,50.00,3985.05
16-11-19,Deposit,,50.00,4035.05
16-12-19,Deposit,,50.00,4085.05
28-12-19,WIN (22.5% APR),,809.71,4894.76
