**Date**  , **Details**              ,**Debit**  , **Credit** , **Buyer**      , **Seller**
2014-10-01,Opening Balances          ,           ,            ,  -20000        ,  20000
2014-10-01,Lease Escrow/Amor. Credit ,           ,  -20000    ,   0            ,  0
2014-12-01,Amortization Bill 1/5     ,  -50000   ,            ,                , 
2014-12-01,Amortization Pay  1/2of1/5,           ,   20000    ,  -20000        ,  20000       
2014-12-01,Amortization Pay  2/2of1/5,           ,   30000    ,  -50000        ,  50000
2015-06-01,Amortization Bill 2/5     ,  -50000   ,            ,                ,  
2015-06-01,Amortization Pay  2/5     ,           ,   50000    ,  -100000       ,  100000
2015-12-01,Amortization Bill 3/5     ,  -50000   ,            ,                ,  
2015-06-01,Amortization Pay  3/5     ,           ,   50000    ,  -150000       ,  150000
2016-12-01,Amortization Bill 4/5     ,  -50000   ,            ,                ,        
2016-06-01,Amortization Pay  4/5     ,           ,   50000    ,  -200000       ,  200000
2017-12-01,Amortization Bill 5/5     ,  -50000   ,            ,                ,
2017-06-01,Amortization Pay  5/5     ,           ,   50000    ,  -250000       ,  250000
