**Date**, **Net**,      **Reference**,  **Volume**,      **¤**,   **GBP**, **Bal (£)**
2018/04/01, 28, Lease Debit 2018/04, -500.00, USD, ?, ?
2018/04/28, n/a,Lease Credit 2018/04,?, ?,?, ?
2018/05/01, 28, Lease Debit 2018/05, -500.00, USD, ?, ?	
2018/05/28, n/a,Lease Credit 2018/05,?, ?,?, ?
2018/06/01, 28, Lease Debit 2018/06, -500.00, USD, ?, ?       
2018/06/28, n/a,Lease Credit 2018/06,?, ?,?, ?
2018/07/01, 28, Lease Debit 2018/07, -500.00, USD, ?, ?       
2018/07/28, n/a,Lease Credit 2018/07,?, ?,?, ?
2018/08/01, 28, Lease Debit 2018/08, -500.00, USD, ?, ?       
2018/08/28, n/a,Lease Credit 2018/08,?, ?,?, ?
2018/09/01, 28, Lease Debit 2018/09, -500.00, USD, ?, ?       
2018/09/28, n/a,Lease Credit 2018/09,?, ?,?, ?
2018/10/01, 28, Lease Debit 2018/10, -500.00, USD, ?, ?       
2018/10/28, n/a,Lease Credit 2018/10,?, ?,?, ?
2018/11/01, 28, Lease Debit 2018/11, -500.00, USD, ?, ?       
2018/11/28, n/a,Lease Credit 2018/11,?, ?,?, ?
2018/12/01, 28, Lease Debit 2018/12, -500.00, USD, ?, ?       
2018/12/28, n/a,Lease Credit 2018/12,?, ?,?, ?
2019/01/01, 28, Lease Debit 2019/01, -500.00, USD, ?, ?       
2019/01/28, n/a,Lease Credit 2019/01,?, ?,?, ?
2019/02/01, 28, Lease Debit 2019/02, -500.00, USD, ?, ?
2019/02/28, n/a,Lease Credit 2019/02,?, ?,?, ?
2019/03/01, 28, Lease Debit 2019/03, -500.00, USD, ?, ?
2019/03/28, n/a,Lease Credit 2019/03,?, ?,?, ?
