.. centered:: **Date**, .. centered:: **Net**,      .. centered:: **Reference**,  .. centered:: **Volume**,      .. centered:: **¤**,   .. centered:: **GBP**, .. centered:: **Bal (£)**
.. centered:: 2019/09/01, .. centered:: 28, .. centered:: Lease_Debit_2019/09, .. centered:: -500.00, .. centered:: USD, .. centered:: ?, .. centered:: ?
.. centered:: 2019/09/28, .. centered:: n/a,.. centered:: Lease_Credit_2019/09,.. centered:: ?, .. centered:: ?,.. centered:: ?, .. centered:: ?
.. centered:: 2019/10/01, .. centered:: 28, .. centered:: Lease_Debit_2019/10, .. centered:: -500.00, .. centered:: USD, .. centered:: ?, .. centered:: ?
.. centered:: 2019/10/28, .. centered:: n/a,.. centered:: Lease_Credit_2019/10,.. centered:: ?, .. centered:: ?,.. centered:: ?, .. centered:: ?
.. centered:: 2019/11/01, .. centered:: 28, .. centered:: Lease_Debit_2019/11, .. centered:: -500.00, .. centered:: USD, .. centered:: ?, .. centered:: ?
.. centered:: 2019/11/28, .. centered:: n/a,.. centered:: Lease_Credit_2019/11,.. centered:: ?, .. centered:: ?,.. centered:: ?, .. centered:: ?
.. centered:: 2019/12/01, .. centered:: 28, .. centered:: Lease_Debit_2019/12, .. centered:: -500.00, .. centered:: USD, .. centered:: ?, .. centered:: ?
.. centered:: 2019/12/28, .. centered:: n/a,.. centered:: Lease_Credit_2019/12,.. centered:: ?, .. centered:: ?,.. centered:: ?, .. centered:: ?
.. centered:: 2020/01/01, .. centered:: 28, .. centered:: Lease_Debit_2020/01, .. centered:: -500.00, .. centered:: USD, .. centered:: ?, .. centered:: ?
.. centered:: 2020/01/28, .. centered:: n/a,.. centered:: Lease_Credit_2020/01,.. centered:: ?, .. centered:: ?,.. centered:: ?, .. centered:: ?
.. centered:: 2020/02/01, .. centered:: 28, .. centered:: Lease_Debit_2020/02, .. centered:: -500.00, .. centered:: USD, .. centered:: ?, .. centered:: ?
.. centered:: 2020/02/28, .. centered:: n/a,.. centered:: Lease_Credit_2020/02,.. centered:: ?, .. centered:: ?,.. centered:: ?, .. centered:: ?
.. centered:: 2020/03/01, .. centered:: 28, .. centered:: Lease_Debit_2020/03, .. centered:: -500.00, .. centered:: USD, .. centered:: ?, .. centered:: ?
.. centered:: 2020/03/28, .. centered:: n/a,.. centered:: Lease_Credit_2020/03,.. centered:: ?, .. centered:: ?,.. centered:: ?, .. centered:: ?
.. centered:: 2020/04/01, .. centered:: 28, .. centered:: Lease_Debit_2020/04, .. centered:: -500.00, .. centered:: USD, .. centered:: ?, .. centered:: ?
.. centered:: 2020/04/28, .. centered:: n/a,.. centered:: Lease_Credit_2020/04,.. centered:: ?, .. centered:: ?,.. centered:: ?, .. centered:: ?
.. centered:: 2020/05/01, .. centered:: 28, .. centered:: Lease_Debit_2020/05, .. centered:: -500.00, .. centered:: USD, .. centered:: ?, .. centered:: ?
.. centered:: 2020/05/28, .. centered:: n/a,.. centered:: Lease_Credit_2020/05,.. centered:: ?, .. centered:: ?,.. centered:: ?, .. centered:: ?
.. centered:: 2020/06/01, .. centered:: 28, .. centered:: Lease_Debit_2020/06, .. centered:: -500.00, .. centered:: USD, .. centered:: ?, .. centered:: ?
.. centered:: 2020/06/28, .. centered:: n/a,.. centered:: Lease_Credit_2020/06,.. centered:: ?, .. centered:: ?,.. centered:: ?, .. centered:: ?
.. centered:: 2020/07/01, .. centered:: 28, .. centered:: Lease_Debit_2020/07, .. centered:: -500.00, .. centered:: USD, .. centered:: ?, .. centered:: ?
.. centered:: 2020/07/28, .. centered:: n/a,.. centered:: Lease_Credit_2020/07,.. centered:: ?, .. centered:: ?,.. centered:: ?, .. centered:: ?
.. centered:: 2020/08/01, .. centered:: 28, .. centered:: Lease_Debit_2020/08, .. centered:: -500.00, .. centered:: USD, .. centered:: ?, .. centered:: ?
.. centered:: 2020/08/28, .. centered:: n/a,.. centered:: Lease_Credit_2020/08,.. centered:: ?, .. centered:: ?,.. centered:: ?, .. centered:: ?
