 **Date**,  **Net**,       **Reference**,   **Volume**,       **¤**,    **GBP**,  **Bal (£)**
 2020/09/01,  28,  Lease_Debit_2020/09,  -500.00,  USD,  -363.11,  -363.11
 2020/10/01,  28,  Lease_Debit_2020/10,  -500.00,  USD,  -363.11,  -726.21	
 2020/10/01,   " ",  Mulct1_Debit_2020/09,  -50.00,  USD,  -36.31,  -762.52	
 2020/11/01,   " ",  Mulct2_Debit_2020/09,  -50.00,  USD,  -36.31,  -798.83	
 2020/11/02,   n/a,  Mulct1_Credit_2020/09,  2923.81,  DOP,  37.30,  -761.53
 2020/11/02,   n/a,  Lease_Credit_2020/09_1/2,  14619.03,  DOP,  186.51,  -575.02
 2020/11/03,   n/a,  Mulct2_Credit_2020/09,  2924.54,  DOP,  37.31,  -537.71
 2020/11/03,   n/a,  Lease_Credit_2020/09_2/2,  14622.69,  DOP,  186.56,  -351.15
 2020/11/05,   " ",  Mulct1_Debit_2020/10,  -50.00,  USD,  -36.31,  -387.46
 2020/11/09,   n/a,  Lease_Credit_2020/10,  29215.71,  DOP,  372.74,  -14.72
	  ,                    ,  Agent>Xe_Reconsile_Credit,       ,	            ,  -21.59,  -36.31
