**Date**, **Net**,      **Reference**,  **Volume**,      **¤**,   **GBP**, **Bal (£)**
2019/04/01, 28, Lease Debit 2019/04, -500.00, USD, ?, ?
2019/04/28, n/a,Lease Credit 2019/04,?, ?,?, ?
2019/05/01, 28, Lease Debit 2019/05, -500.00, USD, ?, ?
2019/05/28, n/a,Lease Credit 2019/05,?, ?,?, ?
2019/06/01, 28, Lease Debit 2019/06, -500.00, USD, ?, ?
2019/06/28, n/a,Lease Credit 2019/06,?, ?,?, ?
2019/07/01, 28, Lease Debit 2019/07, -500.00, USD, ?, ?
2019/07/28, n/a,Lease Credit 2019/07,?, ?,?, ?
2019/08/01, 28, Lease Debit 2019/08, -500.00, USD, ?, ?
2019/08/28, n/a,Lease Credit 2019/08,?, ?,?, ?
