.. centered:: Date, .. centered:: DtP,      .. centered:: Reference,  .. centered:: Amount,      .. centered:: Note,   .. centered:: In GBP, .. centered:: Balance (GBP)
 ,,, ,,,
.. centered:: 20_09_01, .. centered:: 28, Lease_Debit_20_09, .. centered:: -500.00, .. centered:: USD, .. centered:: -363.11, .. centered:: -363.11
.. centered:: 20_10_01, .. centered:: 28, Lease_Debit_20_10, .. centered:: -500.00, .. centered:: USD, .. centered:: -363.11, .. centered:: -726.21	
.. centered:: 20_10_01, .. centered::  " ", Mulct1_Debit_20_09, .. centered:: -50.00, .. centered:: USD, .. centered:: -36.31, .. centered:: -762.52	
.. centered:: 20_11_01, .. centered::  " ", Mulct2_Debit_20_09, .. centered:: -50.00, .. centered:: USD, .. centered:: -36.31, .. centered:: -798.83	
.. centered:: 20_11_02, .. centered::  n/a, Mulct1_Credit_20_09, .. centered:: 2923.81, .. centered:: DOP, .. centered:: 37.30, .. centered:: -761.53
.. centered:: 20_11_02, .. centered::  n/a, Lease_Credit_20_09_1/2, .. centered:: 14619.03, .. centered:: DOP, .. centered:: 186.51, .. centered:: -575.02
.. centered:: 20_11_03, .. centered::  n/a, Mulct2_Credit_20_09, .. centered:: 2924.54, .. centered:: DOP, .. centered:: 37.31, .. centered:: -537.71
.. centered:: 20_11_03, .. centered::  n/a, Lease_Credit_20_09_1/2, .. centered:: 14622.69, .. centered:: DOP, .. centered:: 186.56, .. centered:: -351.15
.. centered:: 20_11_05, .. centered::  " ", Mulct1_Debit_20_10, .. centered:: -50.00, .. centered:: USD, .. centered:: -36.31, .. centered:: -387.46
.. centered:: 20_11_09, .. centered::  n/a, Lease_Credit_20_10, .. centered:: 29215.71, .. centered:: DOP, .. centered:: 372.74, .. centered:: -14.72
	  ,                    , Agent>Xe_Reconsile_Credit,       ,	            , .. centered:: -21.59, .. centered:: -36.31
