.. centered:: **Date**, .. centered:: **Net**,      .. centered:: **Reference**,  .. centered:: **Volume**,      .. centered:: **¤**,   .. centered:: **GBP**, .. centered:: **Bal (£)**
.. centered:: 2019/04/01, .. centered:: 28, .. centered:: Lease_Debit_2019/04, .. centered:: -500.00, .. centered:: USD, .. centered:: ?, .. centered:: ?
.. centered:: 2019/04/28, .. centered:: n/a,.. centered:: Lease_Credit_2019/04,.. centered:: ?, .. centered:: ?,.. centered:: ?, .. centered:: ?
.. centered:: 2019/05/01, .. centered:: 28, .. centered:: Lease_Debit_2019/05, .. centered:: -500.00, .. centered:: USD, .. centered:: ?, .. centered:: ?
.. centered:: 2019/05/28, .. centered:: n/a,.. centered:: Lease_Credit_2019/05,.. centered:: ?, .. centered:: ?,.. centered:: ?, .. centered:: ?
.. centered:: 2019/06/01, .. centered:: 28, .. centered:: Lease_Debit_2019/06, .. centered:: -500.00, .. centered:: USD, .. centered:: ?, .. centered:: ?
.. centered:: 2019/06/28, .. centered:: n/a,.. centered:: Lease_Credit_2019/06,.. centered:: ?, .. centered:: ?,.. centered:: ?, .. centered:: ?
.. centered:: 2019/07/01, .. centered:: 28, .. centered:: Lease_Debit_2019/07, .. centered:: -500.00, .. centered:: USD, .. centered:: ?, .. centered:: ?
.. centered:: 2019/07/28, .. centered:: n/a,.. centered:: Lease_Credit_2019/07,.. centered:: ?, .. centered:: ?,.. centered:: ?, .. centered:: ?
.. centered:: 2019/08/01, .. centered:: 28, .. centered:: Lease_Debit_2019/08, .. centered:: -500.00, .. centered:: USD, .. centered:: ?, .. centered:: ?
.. centered:: 2019/08/28, .. centered:: n/a,.. centered:: Lease_Credit_2019/08,.. centered:: ?, .. centered:: ?,.. centered:: ?, .. centered:: ?
