**Date**, **Net**,      **Reference**,  **Volume**,      **¤**,   **GBP**, **Bal (£)**
2019/09/01, 28, Lease Debit 2019/09, -500.00, USD, ?, ?
2019/09/28, n/a,Lease Credit 2019/09,?, ?,?, ?
2019/10/01, 28, Lease Debit 2019/10, -500.00, USD, ?, ?
2019/10/28, n/a,Lease Credit 2019/10,?, ?,?, ?
2019/11/01, 28, Lease Debit 2019/11, -500.00, USD, ?, ?
2019/11/28, n/a,Lease Credit 2019/11,?, ?,?, ?
2019/12/01, 28, Lease Debit 2019/12, -500.00, USD, ?, ?
2019/12/28, n/a,Lease Credit 2019/12,?, ?,?, ?
2020/01/01, 28, Lease Debit 2020/01, -500.00, USD, ?, ?
2020/01/28, n/a,Lease Credit 2020/01,?, ?,?, ?
2020/02/01, 28, Lease Debit 2020/02, -500.00, USD, ?, ?
2020/02/28, n/a,Lease Credit 2020/02,?, ?,?, ?
2020/03/01, 28, Lease Debit 2020/03, -500.00, USD, ?, ?
2020/03/28, n/a,Lease Credit 2020/03,?, ?,?, ?
2020/04/01, 28, Lease Debit 2020/04, -500.00, USD, ?, ?
2020/04/28, n/a,Lease Credit 2020/04,?, ?,?, ?
2020/05/01, 28, Lease Debit 2020/05, -500.00, USD, ?, ?
2020/05/28, n/a,Lease Credit 2020/05,?, ?,?, ?
2020/06/01, 28, Lease Debit 2020/06, -500.00, USD, ?, ?
2020/06/28, n/a,Lease Credit 2020/06,?, ?,?, ?
2020/07/01, 28, Lease Debit 2020/07, -500.00, USD, ?, ?
2020/07/28, n/a,Lease Credit 2020/07,?, ?,?, ?
2020/08/01, 28, Lease Debit 2020/08, -500.00, USD, ?, ?
2020/08/28, n/a,Lease Credit 2020/08,?, ?,?, ?
