Date,Details,Debit,Credit,Balance (GBP)
09-06-12,Funds Deposited,,6000.00,6000.00
07-09-12,Funds Deposited,,4000.00,10000.00
10-09-12,Funds Deposited,,2000.00,12000.00
14-11-12,Funds Deposited,,3000.00,15000.00
19-11-12,Funds Deposited,,12000.00,27000.00
28-12-12,Interest Accrued (10% APR),,678.90,27678.90
28-12-13,Interest Accrued (10% APR),,2767.89,30446.79
30-12-13,Funds Deposited,,3000.00,33446.79
20-04-14,Funds Deposited,,10000.00,43446.79
28-12-14,Interest Accrued (10% APR),,4033.45,47480.24
28-12-15,Interest Accrued (10% APR),,4748.02,52228.27
28-12-16,Interest Accrued (10% APR),,5237.14,57465.40
07-12-17,Funds Deposited,,190.00,57655.40
28-12-17,Interest Accrued (10% APR),,5417.01,63072.41
28-12-18,Interest Accrued (10% APR),,6307.24,69379.65
28-12-19,Interest Accrued (10% APR),,6937.97,76317.62
28-12-20,Interest Accrued (10% APR),,7652.67,83970.29
08-05-21,Interest to Date ....,,3013.73,86984.02
