Date,Details,Debit,Credit,Balance (GBP)
23-05-14,WIT Coin Purchase,,100.00,100.00
04-08-14,WIT Coin Purchase,,100.00,200.00
14-08-14,WIT Coin Purchase,,100.00,300.00
17-08-14,WIT Coin Purchase,,100.00,400.00
01-09-14,WIT Coin Purchase,,100.00,500.00
04-09-14,WIT Coin Purchase,,50.00,550.00
28-12-14,WIT Coin Interest (10% APR),,17.33,567.33
09-02-15,WIT Coin Purchase,,150.00,717.33
03-03-15,WIT Coin Purchase,,200.00,917.33
14-03-15,WIT Coin Purchase,,100.00,1017.33
01-06-15,WIT Coin Purchase,,99.90,1117.23
13-06-15,WIT Coin Purchase,,149.90,1267.13
14-07-15,WIT Coin Purchase,,54.90,1322.03
20-08-15,WIT Coin Purchase,,90.00,1412.03
24-08-15,WIT Coin Purchase,,149.90,1561.93
25-08-15,WIT Coin Purchase,,150.00,1711.93
27-08-15,WIT Coin Purchase,,149.90,1861.83
28-08-15,WIT Coin Purchase,,158.00,2019.83
09-09-15,WIT Coin Purchase,,93.00,2112.83
12-09-15,WIT Coin Purchase,,149.90,2262.73
18-09-15,WIT Coin Purchase,,35.00,2297.73
20-09-15,WIT Coin Purchase,,190.00,2487.73
26-09-15,WIT Coin Purchase,,84.00,2571.73
27-09-15,WIT Coin Purchase,,140.00,2711.73
30-09-15,WIT Coin Purchase,,45.00,2756.73
12-10-15,WIT Coin Purchase,,45.00,2801.73
14-10-15,WIT Coin Purchase,,90.00,2891.73
17-10-15,WIT Coin Purchase,,240.00,3131.73
22-10-15,WIT Coin Purchase,,35.00,3166.73
26-10-15,WIT Coin Purchase,,149.90,3316.63
04-11-15,WIT Coin Purchase,,125.00,3441.63
06-11-15,WIT Coin Purchase,,190.00,3631.63
23-11-15,WIT Coin Purchase,,75.00,3706.63
28-12-15,WIT Coin Interest (10% APR),,35.54,3742.17
04-09-17,WIT Coin Purchase,,100.00,3806.63
28-12-17,WIT Coin Interest (10% APR),,119.93,3926.56
18-05-18,WIT Coin Purchase,,20.00,3946.56
27-06-18,WIT Coin Purchase,,20.00,3966.56
28-12-18,WIT Coin Interest (10% APR),,199.96,4166.52
01-12-19,WIT Coin Purchase,,49.90,4216.42
07-06-19,WRT Coin Purchase,,50.00,4266.42
28-08-19,WRT Coin Purchase,,100.00,4366.42
28-12-19,WIT Coin Interest (10% APR),,145.95,4512.37
28-12-20,WIT Coin Interest (10% APR),,452.47,4964.84
07-05-21,Interest to Date ....,,176.83,5141.67
