Date,Details,Debit,Credit,Balance (GBP)
28-04-13,WIT Coin Purchase,,8000.00,8000.00
28-04-13,WIT Coin Purchase,,12000.00,20000.00
01-10-13,WIT Coin Purchase,,5000.00,25000.00
28-12-13,WIT Coin Interest (10% APR),,2474.52,27474.52
28-12-14,WIT Coin Interest (10% APR),,2747.45,30221.97
28-12-15,WIT Coin Interest (10% APR),,3022.20,33244.17
28-12-16,WIT Coin Interest (10% APR),,3324.42,36568.59
05-12-17,WIT Coin Purchase,,190.00,36758.59
28-12-17,WIT Coin Interest (10% APR),,3658.06,40416.64
28-12-18,WIT Coin Interest (10% APR),,4041.66,44458.31
25-08-19,Interest to Date ....,,2923.29,47381.59
