Date,Details,Debit,Credit,Balance (GBP)
17-05-13,Funds Deposited,,5000.00,5000.00
28-12-13,Interest Accrued (10% APR),,308.22,5308.22
28-12-14,Interest Accrued (10% APR),,530.82,5839.04
28-12-15,Interest Accrued (10% APR),,583.90,6422.95
28-12-16,Interest Accrued (10% APR),,644.05,7067.00
06-12-17,Funds Deposited,,190.00,7257.00
28-12-17,Interest Accrued (10% APR),,750.44,8007.44
28-12-18,Interest Accrued (10% APR),,800.74,8808.18
28-12-19,Interest Accrued (10% APR),,880.82,9689.00
28-12-20,Interest Accrued (10% APR),,971.55,10660.56
08-05-21,Interest to Date ....,,382.61,11043.17
