Date,Details,Debit,Credit,Balance (GBP)
03-12-19,Funds Deposited,,100.00,100.00
27-12-19,Funds Deposited,,600.00,700.00
28-12-19,Interest Accrued (1% APR),,0.09,700.09
14-02-20,Funds Deposited,,30.00,730.09
18-02-20,Funds Deposited,,30.00,760.09
25-02-20,Funds Deposited,,30.00,790.09
03-03-20,Funds Deposited,,30.00,820.09
10-03-20,Funds Deposited,,30.00,850.09
17-03-20,Funds Deposited,,30.00,880.09
24-03-20,Funds Deposited,,30.00,910.09
31-03-20,Funds Deposited,,30.00,940.09
07-04-20,Funds Deposited, ,30.00,970.09
14-04-20,Funds Deposited, ,30.00,1000.09
21-04-20,Funds Deposited, ,30.00,1030.09
28-04-20,Funds Deposited, ,30.00,1060.09
05-05-20,Funds Deposited, ,30.00,1090.09
12-05-20,Funds Deposited, ,30.00,1120.09
19-05-20,Funds Deposited, ,30.00,1150.09
26-05-20,Funds Deposited, ,30.00,1180.09
02-06-20,Funds Deposited, ,30.00,1210.09
09-06-20,Funds Deposited, ,30.00,1240.09
12-06-20,Funds Deposited, ,100.00,1340.09
16-06-20,Funds Deposited, ,30.00,1370.09
23-06-20,Funds Deposited, ,30.00,1400.09
30-06-20,Funds Deposited, ,30.00,1430.09
07-07-20,Funds Deposited, ,30.00,1460.09
14-07-20,Funds Deposited, ,30.00,1490.09
21-07-20,Funds Deposited, ,30.00,1520.09
28-07-20,Funds Deposited, ,30.00,1550.09
04-08-20,Funds Deposited, ,30.00,1580.09
11-08-20,Funds Deposited, ,30.00,1610.09
18-08-20,Funds Deposited, ,30.00,1640.09
25-08-20,Funds Deposited, ,30.00,1670.09
01-09-20,Funds Deposited, ,30.00,1700.09
08-09-20,Funds Deposited, ,30.00,1730.09
15-09-20,Funds Deposited, ,30.00,1760.09
22-09-20,Funds Deposited, ,30.00,1790.09
29-09-20,Funds Deposited, ,30.00,1820.09
06-10-20,Funds Deposited, ,30.00,1850.09
13-10-20,Funds Deposited, ,30.00,1880.09
20-10-20,Funds Deposited, ,30.00,1910.09
27-10-20,Funds Deposited, ,30.00,1940.09
03-11-20,Funds Deposited, ,30.00,1970.09
10-11-20,Funds Deposited, ,30.00,2000.09
17-11-20,Funds Deposited, ,30.00,2030.09
24-11-20,Funds Deposited, ,30.00,2060.09
01-12-20,Funds Deposited, ,30.00,2090.09
08-12-20,Funds Deposited, ,30.00,2120.09
15-12-20,Funds Deposited, ,30.00,2150.09
22-12-20,Funds Deposited, ,30.00,2180.09
28-12-20,Interest Accrued (1% APR),,264.86,2444.94
29-12-20,Funds Deposited, ,30.00,2474.94
05-01-21,Funds Deposited, ,30.00,2504.94
12-01-21,Funds Deposited, ,30.00,2534.94
19-01-21,Funds Deposited, ,30.00,2564.94
26-01-21,Funds Deposited, ,30.00,2594.94
02-02-21,Funds Deposited, ,30.00,2624.94
09-02-21,Funds Deposited, ,30.00,2654.94
16-02-21,Funds Deposited, ,30.00,2684.94
23-02-21,Funds Deposited, ,30.00,2714.94
02-03-21,Funds Deposited, ,30.00,2744.94
09-03-21,Funds Deposited, ,30.00,2774.94
16-03-21,Funds Deposited, ,30.00,2804.94
23-03-21,Funds Deposited, ,30.00,2834.94
30-03-21,Funds Deposited, ,30.00,2864.94
06-04-21,Funds Deposited, ,30.00,2894.94
14-04-21,Funds Deposited, ,30.00,2924.94
20-04-21,Funds Deposited, ,30.00,2954.94
27-04-21,Funds Deposited, ,30.00,2984.94
04-05-21,Funds Deposited, ,30.00,3014.94
11-05-21,Funds Deposited, ,30.00,3044.94
18-05-21,Funds Deposited, ,30.00,3074.94
23-05-21,Interest to Date ....,,11.07,3086.02
