Date,Details,Debit,Credit,Balance (GBP)
17-05-13,Funds Deposited,,5000.00,5000.00
28-12-13,Interest Accrued (1% APR),,30.82,5030.82
28-12-14,Interest Accrued (1% APR),,50.31,5081.13
28-12-15,Interest Accrued (1% APR),,50.81,5131.94
28-12-16,Interest Accrued (1% APR),,51.46,5183.40
06-12-17,Funds Deposited,,190.00,5373.40
28-12-17,Interest Accrued (1% APR),,55.07,5428.47
28-12-18,Interest Accrued (1% APR),,54.28,5482.76
28-12-19,Interest Accrued (1% APR),,54.83,5537.59
28-12-20,Interest Accrued (1% APR),,55.53,5593.11
23-05-21,Interest to Date ....,,22.37,5615.49
