Date,Details,Debit,Credit,Balance (GBP)
09-07-12,Funds Deposited,,70.00,70.00
09-11-12,Funds Deposited,,2000.00,2070.00
28-12-12,Interest Accrued (10% APR),,30.15,2100.15
28-12-13,Interest Accrued (10% APR),,210.01,2310.16
28-12-14,Interest Accrued (10% APR),,231.02,2541.18
25-08-15,Funds Deposited,,12.00,2553.18
16-09-15,Funds Deposited,,30.00,2583.18
28-12-15,Interest Accrued (10% APR),,255.38,2838.55
28-12-16,Interest Accrued (10% APR),,284.63,3123.19
22-11-17,Funds Deposited,,189.49,3312.68
28-12-17,Interest Accrued (10% APR),,314.19,3626.87
05-02-18,Funds Deposited,,30.00,3656.87
15-05-18,Funds Deposited,,150.00,3806.87
20-06-18,Funds Deposited,,50.00,3856.87
17-07-18,Funds Deposited,,50.00,3906.87
01-08-18,Funds Deposited,,50.00,3956.87
13-08-18,Funds Deposited,,40.00,3996.87
15-11-18,Funds Deposited,,20.00,4016.87
16-11-18,Funds Deposited,,20.00,4036.87
28-12-18,Interest Accrued (10% APR),,383.57,4420.43
28-12-19,Interest Accrued (10% APR),,442.04,4862.47
28-12-20,Interest Accrued (10% APR),,487.58,5350.05
08-05-21,Interest to Date ....,,662.10,6012.15
