Date,Details,Debit,Credit,Balance (GBP)
28-02-13,Funds Deposited,,200.00,200.00
28-03-13,Funds Deposited,,200.00,400.00
29-04-13,Funds Deposited,,200.00,600.00
28-05-13,Funds Deposited,,200.00,800.00
01-07-13,Funds Deposited,,200.00,1000.00
29-07-13,Funds Deposited,,200.00,1200.00
29-08-13,Funds Deposited,,200.00,1400.00
30-09-13,Funds Deposited,,200.00,1600.00
29-10-13,Funds Deposited,,200.00,1800.00
28-11-13,Funds Deposited,,200.00,2000.00
14-03-19,Funds Deposited,,600.00,2600.00
01-04-19,Interest Policy Begins,,,2600.00
01-04-20,Interest (16.6% APR),,432.78,3032.78
01-04-21,Interest (16.6% APR),,503.44,3536.22
06-05-21,Interest to Date ....,,56.29,3592.51
