**Annex ID**, **Description**, **PDF**, **SVG**, **PNG**
:ref:`QUO-0011`,  Element/Matrix VPS,`link(xx.xkb) <https://wayback.datro.xyz/2021-07-01_quo-0011_en_v0-0-0.pdf>`__  , `link(xx.xkb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/img/2021-07-01_quo-0011_en_v0-0-0.svg>`__  , `link(xx.xkb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/img/2021-07-01_quo-0011_en_v0-0-0.png>`__  
:ref:`QUO-0031`, Hardware (x7 Pi4’s),`link(xx.xkb) <https://wayback.datro.xyz/2021-08-30_quo-0031_en_v0-0-0.pdf>`__  , `link(xx.xkb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/img/2021-08-30_quo-0031_en_v0-0-0.svg>`__  , `link(xx.xkb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/img/2021-08-30_quo-0031_en_v0-0-0.png>`__  
:ref:`QUO-0041`, Hardware (UpBoards),`link(xx.xkb) <https://wayback.datro.xyz/2021-10-18_quo-0041_en_v0-0-0.pdf>`__  , `link(xx.xkb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/img/2021-10-18_quo-0041_en_v0-0-0.svg>`__  , `link(xx.xkb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/img/2021-10-18_quo-0041_en_v0-0-0.png>`__  
:ref:`QUO-0052`, OS Mandate & Brief, `link(xx.xkb) <https://wayback.datro.xyz/2021-11-14_quo-0052_en_v0-0-0.pdf>`__  , `link(xx.xkb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/img/2021-11-14_quo-0052_en_v0-0-0.svg>`__  , `link(xx.xkb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/img/2021-11-14_quo-0052_en_v0-0-0.png>`__  
:ref:`QUO-0062`,  OS Plan & Execute, `link(xx.xkb) <https://wayback.datro.xyz/2021-12-14_quo-0062_en_v0-0-0.pdf>`__  , `link(xx.xkb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/img/2021-12-14_quo-0062_en_v0-0-0.svg>`__  , `link(xx.xkb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/img/2021-12-14_quo-0062_en_v0-0-0.png>`__  
:ref:`QUO-0072`,    OS Deliverables, `link(xx.xkb) <https://wayback.datro.xyz/2022-01-14_quo-0072_en_v0-0-0.pdf>`__  , `link(xx.xkb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/img/2022-01-14_quo-0072_en_v0-0-0.svg>`__  , `link(xx.xkb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/img/2022-01-14_quo-0072_en_v0-0-0.png>`__  
:ref:`INV-0012`, Element/Matrix(VPS), `link(xx.xkb) <https://wayback.datro.xyz/2021-07-01_consortium_finance-funding_sales8cc_en_inv-0012_v0-0-0.pdf>`__ , `link(xx.xkb) <https://datro.xyz/static/library/consortium_finance/funding_sales8cc/latest/source/_static/custom/svg/2021-07-01_inv-0012_v0-0-0.svg>`__ , `link(xx.xkb) <https://datro.xyz/static/library/consortium_finance/funding_sales8cc/latest/source/_static/custom/png/2021-07-01_inv-0012_v0-0-0.png>`__ 
:ref:`INV-0032`, Hardware (x7 Pi4’s), `link(xx.xkb) <https://wayback.datro.xyz/2021-08-30_consortium_finance-funding_sales8cc_en_inv-0032_v0-0-0.pdf>`__ , `link(xx.xkb) <https://datro.xyz/static/library/consortium_finance/funding_sales8cc/latest/source/_static/custom/svg/2021-08-30_inv-0032_v0-0-0.svg>`__ , `link(xx.xkb) <https://datro.xyz/static/library/consortium_finance/funding_sales8cc/latest/source/_static/custom/png/2021-08-30_inv-0042_v0-0-0.png>`__ 
:ref:`INV-0042`, Hardware (UpBoards), `link(xx.xkb) <https://wayback.datro.xyz/2021-10-18_consortium_finance-funding_sales8cc_en_inv-0042_v0-0-0.pdf>`__ , `link(xx.xkb) <https://datro.xyz/static/library/consortium_finance/funding_sales8cc/latest/source/_static/custom/svg/2021-10-18_inv-0042_v0-0-0.svg>`__ , `link(xx.xkb) <https://datro.xyz/static/library/consortium_finance/funding_sales8cc/latest/source/_static/custom/png/2021-10-18_inv-0042_v0-0-0.png>`__ 
:ref:`INV-0052`,     Mandate & Brief, `link(xx.xkb) <https://wayback.datro.xyz/2021-11-28_consortium_finance-funding_sales8cc_en_inv-0052_v0-0-0.pdf>`__ , `link(xx.xkb) <https://datro.xyz/static/library/consortium_finance/funding_sales8cc/latest/source/_static/custom/svg/2021-12-28_inv-0052_v0-0-0.svg>`__ , `link(xx.xkb) <https://datro.xyz/static/library/consortium_finance/funding_sales8cc/latest/source/_static/custom/png/2021-11-28_inv-0052_v0-0-0.png>`__  
