Date,Details,Debit,Credit,Balance (GBP)
28-04-13,Funds Deposited,,8000.00,8000.00
28-04-13,Funds Deposited,,12000.00,20000.00
01-10-13,Funds Deposited,,5000.00,25000.00
28-12-13,Interest Accrued (1% APR),,247.45,25247.45
28-12-14,Interest Accrued (1% APR),,252.47,25499.93
28-12-15,Interest Accrued (1% APR),,255.00,25754.93
28-12-16,Interest Accrued (1% APR),,257.55,26012.48
05-12-17,Funds Deposited,,190.00,26202.48
28-12-17,Interest Accrued (1% APR),,260.24,26462.72
28-12-18,Interest Accrued (1% APR),,264.63,26727.35
28-12-19,Interest Accrued (1% APR),,267.27,26994.62
28-12-20,Interest Accrued (1% APR),,270.69,27265.31
23-05-21,Interest to Date ....,,109.06,27374.37
