Date,Details,Debit,Credit,Balance (GBP)
20-02-12,Funds Deposited,,4000.00,4000.00
28-12-12,Interest Accrued (1% APR),,34.19,4034.19
28-12-13,Interest Accrued (1% APR),,40.34,4074.53
19-08-14,Funds Deposited,,865.13,4939.66
28-12-14,Interest Accrued (1% APR),,43.85,4983.51
28-12-15,Interest Accrued (1% APR),,49.84,5033.35
28-12-16,Interest Accrued (1% APR),,50.47,5083.82
18-12-17,Funds Deposited,,190.00,5273.82
28-12-17,Interest Accrued (1% APR),,50.89,5324.71
28-12-18,Interest Accrued (1% APR),,53.25,5377.96
28-12-19,Interest Accrued (1% APR),,53.78,5431.74
28-12-20,Interest Accrued (1% APR),,54.47,5486.20
23-05-21,Interest to Date ....,,21.94,5508.15
