Date,Details,Debit,Credit,Balance (GBP)
05-03-13,WIT Coin Purchase,,834.00,834.00
05-04-13,WIT Coin Purchase,,834.00,1668.00
16-05-13,WIT Coin Purchase,,400.00,2068.00
23-05-13,WIT Coin Purchase,,300.00,2368.00
06-06-13,WIT Coin Purchase,,300.00,2668.00
20-06-13,WIT Coin Purchase,,532.00,3200.00
04-07-13,WIT Coin Purchase,,250.00,3450.00
19-07-13,WIT Coin Purchase,,272.00,3722.00
01-08-13,WIT Coin Purchase,,278.00,4000.00
08-08-13,WIT Coin Purchase,,250.00,4250.00
15-08-13,WIT Coin Purchase,,250.00,4500.00
04-10-13,WIT Coin Purchase,,300.00,4800.00
05-10-13,WIT Coin Purchase,,200.00,5000.00
24-10-13,WIT Coin Purchase,,200.00,5200.00
15-11-13,WIT Coin Purchase,,1500.00,6700.00
28-12-13,WIT Coin Interest (10% APR),,303.89,7003.89
09-12-13,WIT Coin Purchase,,300.00,7303.89
24-01-14,WIT Coin Purchase,,250.00,7553.89
04-02-14,WIT Coin Purchase,,250.00,7803.89
03-03-14,WIT Coin Purchase,,250.00,8053.89
06-03-14,WIT Coin Purchase,,250.00,8303.89
17-03-14,WIT Coin Purchase,,200.00,8503.89
20-03-14,WIT Coin Purchase,,300.00,8803.89
25-03-14,WIT Coin Purchase,,500.00,9303.89
27-03-14,WIT Coin Purchase,,800.00,10103.89
27-03-14,WIT Coin Purchase,,200.00,10303.89
29-04-14,WIT Coin Purchase,,2000.00,12303.89
28-12-14,WIT Coin Interest (10% APR),,1104.17,13408.06
20-03-15,WIT Coin Purchase,,2000.00,15408.06
20-03-15,WIT Coin Purchase,,2000.00,17408.06
23-07-15,WIT Coin Purchase,,1999.00,19407.06
10-05-15,WIT Coin Purchase,,14.90,19421.96
10-08-15,WIT Coin Purchase,,204.90,19626.86
28-12-15,WIT Coin Interest (10% APR),,1746.28,21373.14
28-12-16,WIT Coin Interest (10% APR),,2137.31,23510.46
28-12-17,WIT Coin Interest (10% APR),,2351.05,25861.50
28-12-18,WIT Coin Interest (10% APR),,2586.15,28447.65
20-01-19,Interest to Date ....,,179.26,28626.91
