Date,Details,Debit,Credit,Balance (GBP)
09-06-12,WIT Coin Purchase,,6000.00,6000.00
07-09-12,WIT Coin Purchase,,4000.00,10000.00
10-09-12,WIT Coin Purchase,,2000.00,12000.00
14-11-12,WIT Coin Purchase,,3000.00,15000.00
19-11-12,WIT Coin Purchase,,12000.00,27000.00
28-12-12,WIT Coin Interest (10% APR),,678.90,27678.90
28-12-13,WIT Coin Interest (10% APR),,2767.89,30446.79
30-12-13,WIT Coin Purchase,,3000.00,33446.79
20-04-14,WIT Coin Purchase,,10000.00,43446.79
28-12-14,WIT Coin Interest (10% APR),,3826.32,47273.12
28-12-15,WIT Coin Interest (10% APR),,4727.31,52000.43
28-12-16,WIT Coin Interest (10% APR),,5200.04,57200.47
07-12-17,WIT Coin Purchase,,190.00,57390.47
28-12-17,WIT Coin Interest (10% APR),,5721.14,62921.61
28-12-18,WIT Coin Interest (10% APR),,6292.16,69213.77
25-08-19,Interest to Date ....,,4551.04,73764.82
