Date,Details,Debit,Credit,Balance (GBP)
16-01-19,WRT Coin Tranfer-In,,8360.12,8360.12
16-01-19,Deposit,,50.00,8410.12
16-02-19,Deposit,,50.00,8460.12
16-03-19,Deposit,,50.00,8510.12
16-04-19,Deposit,,50.00,8560.12
16-05-19,Deposit,,50.00,8610.12
16-06-19,Deposit,,50.00,8660.12
16-07-19,Deposit,,50.00,8710.12
16-08-19,Deposit,,50.00,8760.12
16-09-19,Deposit,,50.00,8810.12
16-10-19,Deposit,,50.00,8860.12
16-11-19,Deposit,,50.00,8910.12
16-12-19,Deposit,,50.00,8960.12
28-12-19,WIN (22.5% APR),,1849.50,10809.62
