Date,Details,Debit,Credit,Balance (GBP)
16-01-19,WRT Coin Tranfer-In,,8121.60,8121.60
16-01-19,Deposit,,50.00,8171.60
16-02-19,Deposit,,50.00,8221.60
16-03-19,Deposit,,50.00,8271.60
16-04-19,Deposit,,50.00,8321.60
16-05-19,Deposit,,50.00,8371.60
16-06-19,Deposit,,50.00,8421.60
16-07-19,Deposit,,50.00,8471.60
16-08-19,Deposit,,50.00,8521.60
16-09-19,Deposit,,50.00,8571.60
16-10-19,Deposit,,50.00,8621.60
16-11-19,Deposit,,50.00,8671.60
16-12-19,Deposit,,50.00,8721.60
28-12-19,WIN (22.5% APR),,1798.63,10520.23
