Code, Description, 2024, 2025, 2026, 2027, 2028, 2029
############# Lenders / Financing Summary #####################
3200, Capital/Fund, 5300, 4000, 3000, 2000, 1000, 0
3400, Interest Received, 54, 110, 220, 330, 440, 550
3600, Loan Repayments Received, 0, 300, 0, 0, 0, 5000
############# Assets #########################################
0000, Cash & Bank Balance, 400, 700, 1000, 1400, 1600, 1200
1200, Vehicles (Gross), 260, 1055, 1850, 1850, 1850, 1850
1201, Property (Land & Building), 0, 0, 0, 3000, 3000, 3000
1300, Accounts Receivable, 100, 400, 700, 1000, 1200, 1400
1400, Other Assets, 506, -240, -735, -3445, -2805, -7465
2600, Equity (Retained Earnings), 60, 250, 550, 900, 1200, 1400
############# Liabilities ####################################
2000, Bonds Payable (Drawn), -1000, -2000, -3000, -4000, -5000, 0
2200, Startup Loan Payable, -300, 0, 0, 0, 0, 0
2300, Accumulated Depreciation, -26, -130, -300, -600, -900, -1200
2400, Taxes Payable, 0, -20, -40, -70, -100, -130
2500, Other Payables, 0, -15, -25, -35, -45, -55
############# Expenses #######################################
4000, Driver & Supplier Costs, -80, -450, -750, -950, -1050, -1150
4500, Admin & Overheads, -50, -70, -90, -110, -130, -150
