project	preview_url	repo_url	cf_project	cname
_dcc	https://dcc.datro.xyz/	https://github.com/unclehowell/_dcc	dcc	dcc.datro.xyz
bpvsbuckler	https://bpvsbuckler.datro.xyz/	https://github.com/unclehowell/bpvsbuckler	bpvsbuckler	bpvsbuckler.datro.xyz
ccan	https://ccan.datro.xyz/	https://github.com/unclehowell/ccan	ccan	ccan.datro.xyz
datro	https://datro.xyz/	https://github.com/unclehowell/datro	datro	datro.xyz
ew	https://ew.datro.xyz/	https://github.com/unclehowell/ew	ew	ew.datro.xyz
forces	https://ceo.datro.xyz/	https://github.com/unclehowell/forces	ceo	ceo.datro.xyz
gui	https://gui.datro.xyz/	https://github.com/unclehowell/gui	gui	gui.datro.xyz
hbnb	https://hbnb.datro.xyz/	https://github.com/unclehowell/hbnb	hbnb	hbnb.datro.xyz
library	https://library.datro.xyz/	https://github.com/unclehowell/library	library	library.datro.xyz
monoreapo	https://monoreapo.datro.xyz/	https://github.com/unclehowell/monoreapo	monoreapo	monoreapo.datro.xyz
old_dcc	https://old_dcc.datro.xyz/	https://github.com/unclehowell/old_dcc	old_dcc	old_dcc.datro.xyz
pcp	https://pcp.datro.xyz/	https://github.com/unclehowell/pcp	pcp	pcp.datro.xyz
pcp2	https://financecheque.uk/	https://github.com/unclehowell/pcp2	financecheque	financecheque.uk
projections	https://projections.datro.xyz/	https://github.com/unclehowell/projections	projections	projections.datro.xyz
timeline	https://timeline.datro.xyz/	https://github.com/unclehowell/timeline	timeline	timeline.datro.xyz
togo	https://togo.datro.xyz/	https://github.com/unclehowell/togo	togo	togo.datro.xyz
wave	https://wave.datro.xyz/	https://github.com/unclehowell/wave	wave	wave.datro.xyz
