txid,time,type,volume
TYFMAV-K6AIW-4K2NGP,2014-01-16 16:47:20,buy,0.0110000000
TCVEPZ-L7ILU-5ET744,2014-01-16 16:51:20,buy,0.0500000000
TUUUDZ-2LE2U-KL36V5,2014-01-16 16:51:27,buy,0.2000000000
TQWNCS-YGE7G-VYT3KT,2014-01-16 16:52:28,buy,0.0499450000
T4KL5K-IWKJS-OPZ6QG,2014-01-16 16:52:36,buy,0.0000550000
TQD6QO-FZ6AP-OO2BHR,2014-01-16 16:56:04,buy,0.0110000000
TDGMGZ-UWVDP-VOPCHL,2014-01-16 16:57:26,buy,0.0140000000
TJ5MR6-WONBD-MI2SAJ,2014-01-16 16:58:01,buy,0.1348867100
TPZZNL-J7LZY-NF56RS,2014-01-16 21:21:00,buy,0.0500000000
TKRPDT-TAJDI-AONNPV,2014-01-16 21:24:25,buy,0.0500000000
TNH6YT-ZWHLT-5ISSKB,2014-01-16 21:26:45,buy,0.0500000000
TFHTJ3-SXPDL-MMUUVT,2014-01-16 21:28:01,buy,0.0110000000
TFDY7B-JEJXD-DTFDFY,2014-01-16 21:30:42,buy,0.0110000000
TC43HP-3FFYO-4WXQXS,2014-01-16 21:31:10,buy,0.0110000000
TGPJ7O-OBRAS-CL7ASO,2014-01-16 21:31:31,buy,0.0120000000
TEF2ET-JQJH2-4V6HNK,2014-01-16 21:31:55,buy,0.0110000000
TMC5IT-RPPJW-44GP2Q,2014-01-16 21:32:34,buy,0.0240000000
TQH2DP-Y7BVI-2N4YCC,2014-01-16 21:35:38,buy,0.0110000000
TV3EBN-ZFPQU-J5OB5L,2014-01-16 21:36:07,buy,0.0110000000
TEBE7B-ZYZK6-6ZEWVJ,2014-01-16 21:41:09,buy,0.0120000000
TDOVX6-7ULSM-DK6GQB,2014-01-16 21:41:31,buy,0.0109562900
THXZHX-F3NQR-U47Y33,2014-01-16 21:41:42,buy,0.0000437100
TQ2HRY-YQJLU-H7FKGE,2014-01-16 21:41:52,buy,0.0110000000
T4JP5P-4HTFR-M2IBB7,2014-01-16 21:42:21,buy,0.0109572000
TCTDOF-YKDHP-ZKNH4M,2014-01-16 21:42:38,buy,0.0000428000
TCSGU2-CLGI4-5ZFKRY,2014-01-16 21:42:47,buy,0.0400000000
TI64KD-ROIPY-T7RSAF,2014-01-16 21:43:28,buy,0.0110000000
TFMXWP-2XQ6P-UB3472,2014-01-16 21:43:47,buy,0.0130000000
TUBKDX-ADDUW-HQLA3S,2014-01-16 21:44:04,buy,0.0110000000
TX4USO-O6ZT3-HY3UDG,2014-01-16 21:54:36,buy,0.0130000000
THZAL3-Q7LEL-ZCNUXM,2014-01-16 21:54:55,buy,0.0130000000
TAP5A7-XJJF7-NTJJAN,2014-01-16 21:55:24,buy,0.0120000000
TTPMTZ-IJD4Q-S6GZXP,2014-01-16 21:55:32,buy,0.0120000000
TNMZ2E-BHJI3-75L2LH,2014-01-16 21:56:55,buy,0.0130000000
TNI4QK-QMSP5-RL4W5Q,2014-01-16 21:58:19,buy,0.0130000000
TM5QPR-FSM6H-M2S46T,2014-01-16 21:58:37,buy,0.0130000000
TFOEJT-MPIJF-TVYODJ,2014-01-16 22:03:56,buy,0.0130000000
TWAGVX-DIY4P-YYWZTO,2014-01-16 22:04:10,buy,0.0130000000
TNC2NR-6NHNK-KKOWVD,2014-01-16 22:04:32,buy,0.0130000000
TPZY54-FM7OO-ECKQ6S,2014-01-16 22:05:06,buy,0.0130000000
TERS6X-KZETO-BSHPHQ,2014-01-16 22:05:58,buy,0.0130000000
TRMAUY-TWCVV-6SEBDS,2014-01-16 22:06:18,buy,0.0130000000
TEQ5KW-4SKOZ-HPHVBP,2014-01-16 22:10:15,buy,0.0120000000
TQ5K7H-2CJTR-A5HL2I,2014-01-16 22:10:26,buy,0.0110000000
TIJSQQ-DWETO-3OILSR,2014-01-16 22:10:48,buy,0.0120000000
TQLO4N-7WL5U-P4JBB2,2014-01-16 22:11:31,buy,0.0120000000
TR44EC-WXBOK-AZYNPR,2014-01-16 22:11:52,buy,0.0120000000
TX2JNZ-XOXQG-CVV7IY,2014-01-16 22:12:08,buy,0.0120000000
TAVH34-MDPS2-IFDXGQ,2014-01-16 22:12:25,buy,0.0120000000
T7AQ5T-AKUZQ-U3THCV,2014-01-16 22:12:43,buy,0.0110000000
TMBCVD-IFRFF-N3AFZW,2014-01-16 22:13:15,buy,0.0120000000
T5ZKMI-N2G5M-H7IL7N,2014-01-16 22:14:09,buy,0.0120000000
TCQD2W-V5OVQ-5ZQTGG,2014-01-16 22:14:30,buy,0.0120000000
TPARWM-FPMYC-5FPT7I,2014-01-16 22:14:51,buy,0.0110000000
TWINGM-3CTRW-CCBDWH,2014-01-16 22:15:13,buy,0.0120000000
TW74C6-JMGCL-UU2UI5,2014-01-16 22:15:29,buy,0.0120000000
TJOSTY-T53DZ-CSPFHB,2014-01-16 22:15:43,buy,0.0120000000
TDOPUI-643W2-3POEXF,2014-01-16 22:15:57,buy,0.0110000000
TGWBUL-LSVUR-FIKDXT,2014-01-17 19:17:58,buy,0.0130000000
TTIRPQ-ZDL2T-VS4JLG,2014-01-18 19:56:19,buy,0.1630000000
TN4MNG-JRVKG-F7MAAE,2014-01-18 19:57:41,buy,0.0108999000
TT62CO-7WEOZ-KC6ZGO,2014-01-24 11:38:40,buy,0.0110336000
TI5APH-XGOZ7-3IA4ZV,2014-01-24 11:49:16,buy,0.0009664000
T667DJ-CZWWN-YBBEUB,2014-03-27 3:24:20,buy,0.0816829600
,,,
,,Total,1.4784695700
