Date,Details,Debit,Credit,Balance (GBP)
19-09-19,Funds Deposited,,30.00,30.00
25-09-19,Funds Deposited,,100,130.00
30-09-19,Funds Deposited,,200.00,330.00
08-10-19,Funds Deposited,,20,350.00
10-10-19,Funds Deposited,,20,370.00
13-10-19,Funds Deposited,,50,420.00
15-10-19,Funds Deposited,,114,534.00
19-10-19,Funds Deposited,,50,584.00
24-10-19,Funds Deposited,,75,659.00
30-10-19,Funds Deposited,,40,699.00
16-11-19,Funds Deposited,,815,1514.00
28-11-19,Funds Deposited,,50,1564.00
07-12-19,Funds Deposited,,730,2294.00
19-12-19,Funds Deposited,,50,2344.00
20-12-19,Funds Deposited,,20,2364.00
28-12-19,Interest Accrued (1% APR),,2.96,2366.96
10-01-20,Funds Deposited,,30,2396.96
16-01-20,Funds Deposited,,50,2446.96
22-01-20,Funds Deposited,,100,2546.96
30-01-20,Funds Deposited,,40,2586.96
07-02-20,Funds Deposited,,20,2606.96
12-02-20,Funds Deposited,,20,2626.96
19-02-20,Funds Deposited,,30,2656.96
20-02-20,Funds Deposited,,30,2686.96
20-02-20,Funds Deposited,,140,2826.96
28-02-20,Funds Deposited,,40,2866.96
29-02-20,Funds Deposited,,50,2916.96
07-03-20,Funds Deposited,,40,2956.96
14-03-20,Funds Deposited,,20,2976.96
19-03-20,Funds Deposited,,30,3006.96
21-03-20,Funds Deposited,,15,3021.96
22-03-20,Funds Deposited,,30,3051.96
27-03-20,Funds Deposited,,50,3101.96
20-04-20,Funds Deposited,,30,3131.96
25-04-20,Funds Deposited,,10,3141.96
03-05-20,Funds Deposited,,10,3151.96
08-05-20,Funds Deposited,,20,3171.96
14-05-20,Funds Deposited,,10,3181.96
16-05-20,Funds Deposited,,30,3211.96
21-05-20,Funds Deposited,,100,3311.96
27-05-20,Funds Deposited,,20,3331.96
08-06-20,Funds Deposited,,40,3371.96
21-06-20,Funds Deposited,,30,3401.96
27-06-20,Funds Deposited,,30,3431.96
06-07-20,Funds Deposited,,40,3471.96
09-07-20,Funds Deposited,,30,3501.96
17-07-20,Funds Deposited,,250,3751.96
23-07-20,Funds Deposited,,50,3801.96
27-07-20,Funds Deposited,,100,3901.96
03-08-20,Funds Deposited,,20,3921.96
19-08-20,Funds Deposited,,50,3971.96
28-08-20,Funds Deposited,,50,4021.96
12-09-20,Funds Deposited,,50,4071.96
16-09-20,Funds Deposited,,60,4131.96
17-09-20,Funds Deposited,,10,4141.96
18-09-20,Funds Deposited,,40,4181.96
29-09-20,Funds Deposited,,50,4231.96
19-10-20,Funds Deposited,,100,4331.96
19-11-20,Funds Deposited,,100,4431.96
05-12-20,Funds Deposited,,10,4441.96
18-12-20,Funds Deposited,,100,4541.96
21-12-20,Funds Deposited,,50,4591.96
26-12-20,Funds Deposited,,30,4621.96
28-12-20,Interest Accrued (1% APR),,11.76,4633.72
18-01-21,Funds Deposited,,100,4733.72
26-01-21,Funds Deposited,,40,4773.72
06-02-21,Funds Deposited,,50,4823.72
19-02-21,Funds Deposited,,100,4923.72
27-02-21,Funds Deposited,,50,4973.72
19-03-21,Funds Deposited,,150,5123.72
29-03-21,Funds Deposited,,2,5125.72
03-04-21,Funds Deposited,,30,5155.72
11-04-21,Funds Deposited,,10,5165.72
13-04-21,Funds Deposited,,20,5185.72
17-04-21,Funds Deposited,,20,5205.72
19-04-21,Funds Deposited,,50,5255.72
26-04-21,Funds Deposited,,10,5265.72
08-05-21,Funds Deposited,,30,5295.72
15-05-21,Funds Deposited,,50,5345.72
15-05-21,Funds Deposited,,50,5395.72
23-05-21,Interest to Date ....,,19.97,5415.70
