Date,Details,Debit,Credit,Balance (GBP)
09-07-12,Funds Deposited,,70.00,70.00
09-11-12,Funds Deposited,,2000.00,2070.00
28-12-12,Interest Accrued (1% APR),,3.01,2073.01
28-12-13,Interest Accrued (1% APR),,20.73,2093.74
28-12-14,Interest Accrued (1% APR),,20.94,2114.68
25-08-15,Funds Deposited,,12.00,2126.68
16-09-15,Funds Deposited,,30.00,2156.68
28-12-15,Interest Accrued (1% APR),,21.27,2177.95
28-12-16,Interest Accrued (1% APR),,21.84,2199.79
22-11-17,Funds Deposited,,189.49,2389.28
28-12-17,Interest Accrued (1% APR),,22.18,2411.47
05-02-18,Funds Deposited,,30.00,2441.47
15-05-18,Funds Deposited,,150.00,2591.47
20-06-18,Funds Deposited,,50.00,2641.47
17-07-18,Funds Deposited,,50.00,2691.47
01-08-18,Funds Deposited,,50.00,2741.47
13-08-18,Funds Deposited,,40.00,2781.47
15-11-18,Funds Deposited,,20.00,2801.47
16-11-18,Funds Deposited,,20.00,2821.47
28-12-18,Interest Accrued (1% APR),,26.20,2847.67
28-12-19,Interest Accrued (1% APR),,28.48,2876.15
28-12-20,Interest Accrued (1% APR),,28.84,2904.99
23-05-21,Interest to Date ....,,40.34,2945.33
