#options: 1080x1920 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=8 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=1 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=30 rc=abr mbtree=1 bitrate=1342 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:45.37 aq:31.77 tex:116171 mv:52525 misc:312 imb:8160 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:45.98 aq:33.41 tex:638 mv:1303 misc:1211 imb:24 pmb:148 smb:7988 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:45.98 aq:36.90 tex:54 mv:99 misc:447 imb:1 pmb:9 smb:8150 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:45.98 aq:31.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:45.98 aq:31.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:45.81 aq:31.86 tex:380 mv:235 misc:657 imb:9 pmb:91 smb:8060 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:45.89 aq:35.86 tex:27 mv:4 misc:417 imb:0 pmb:1 smb:8159 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:45.94 aq:31.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:45.85 aq:31.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:49.81 aq:34.30 tex:79 mv:113 misc:512 imb:2 pmb:12 smb:8146 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:47.81 aq:32.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:46.81 aq:32.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:48.81 aq:34.00 tex:0 mv:0 misc:392 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:47.12 aq:30.01 tex:119 mv:190 misc:579 imb:4 pmb:20 smb:8136 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:48.46 aq:32.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:49.14 aq:34.00 tex:0 mv:0 misc:392 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:47.79 aq:33.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:43.12 aq:30.33 tex:8308 mv:5722 misc:3458 imb:207 pmb:657 smb:7296 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:45.12 aq:29.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8160 d:- ref:0 ;
